symptom,age_group,prompt_template,follow_up_questions,diagnosis_list,treatment_otc,treatment_prescription,treatment_home_remedies,treatment_precautions
bedwetting,preschool,Analyze the condition of a preschool child experiencing bedwetting. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the bedwetting start?', 'Has the child experienced this bedwetting before?', 'Are there any other symptoms with the bedwetting?']","['Possible diagnosis 1 for bedwetting', 'Possible diagnosis 2 for bedwetting']",['bedwetting-relief medication (OTC)'],['Prescription treatment for bedwetting'],"['Home care for bedwetting (hydration, rest)']","['Monitor severity of bedwetting, seek help if worsens']"
vomiting,toddler,Analyze the condition of a toddler child experiencing vomiting. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the vomiting start?', 'Has the child experienced this vomiting before?', 'Are there any other symptoms with the vomiting?']","['Possible diagnosis 1 for vomiting', 'Possible diagnosis 2 for vomiting']",['vomiting-relief medication (OTC)'],['Prescription treatment for vomiting'],"['Home care for vomiting (hydration, rest)']","['Monitor severity of vomiting, seek help if worsens']"
fever,adolescent,Analyze the condition of a adolescent child experiencing fever. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the fever start?', 'Has the child experienced this fever before?', 'Are there any other symptoms with the fever?']","['Possible diagnosis 1 for fever', 'Possible diagnosis 2 for fever']",['fever-relief medication (OTC)'],['Prescription treatment for fever'],"['Home care for fever (hydration, rest)']","['Monitor severity of fever, seek help if worsens']"
fever,adolescent,Analyze the condition of a adolescent child experiencing fever. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the fever start?', 'Has the child experienced this fever before?', 'Are there any other symptoms with the fever?']","['Possible diagnosis 1 for fever', 'Possible diagnosis 2 for fever']",['fever-relief medication (OTC)'],['Prescription treatment for fever'],"['Home care for fever (hydration, rest)']","['Monitor severity of fever, seek help if worsens']"
ear pain,preschool,Analyze the condition of a preschool child experiencing ear pain. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the ear pain start?', 'Has the child experienced this ear pain before?', 'Are there any other symptoms with the ear pain?']","['Possible diagnosis 1 for ear pain', 'Possible diagnosis 2 for ear pain']",['ear pain-relief medication (OTC)'],['Prescription treatment for ear pain'],"['Home care for ear pain (hydration, rest)']","['Monitor severity of ear pain, seek help if worsens']"
rash,school-age,Analyze the condition of a school-age child experiencing rash. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the rash start?', 'Has the child experienced this rash before?', 'Are there any other symptoms with the rash?']","['Possible diagnosis 1 for rash', 'Possible diagnosis 2 for rash']",['rash-relief medication (OTC)'],['Prescription treatment for rash'],"['Home care for rash (hydration, rest)']","['Monitor severity of rash, seek help if worsens']"
runny nose,preschool,Analyze the condition of a preschool child experiencing runny nose. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the runny nose start?', 'Has the child experienced this runny nose before?', 'Are there any other symptoms with the runny nose?']","['Possible diagnosis 1 for runny nose', 'Possible diagnosis 2 for runny nose']",['runny nose-relief medication (OTC)'],['Prescription treatment for runny nose'],"['Home care for runny nose (hydration, rest)']","['Monitor severity of runny nose, seek help if worsens']"
cough,infant,Analyze the condition of a infant child experiencing cough. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the cough start?', 'Has the child experienced this cough before?', 'Are there any other symptoms with the cough?']","['Possible diagnosis 1 for cough', 'Possible diagnosis 2 for cough']",['cough-relief medication (OTC)'],['Prescription treatment for cough'],"['Home care for cough (hydration, rest)']","['Monitor severity of cough, seek help if worsens']"
rash,school-age,Analyze the condition of a school-age child experiencing rash. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the rash start?', 'Has the child experienced this rash before?', 'Are there any other symptoms with the rash?']","['Possible diagnosis 1 for rash', 'Possible diagnosis 2 for rash']",['rash-relief medication (OTC)'],['Prescription treatment for rash'],"['Home care for rash (hydration, rest)']","['Monitor severity of rash, seek help if worsens']"
headache,adolescent,Analyze the condition of a adolescent child experiencing headache. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the headache start?', 'Has the child experienced this headache before?', 'Are there any other symptoms with the headache?']","['Possible diagnosis 1 for headache', 'Possible diagnosis 2 for headache']",['headache-relief medication (OTC)'],['Prescription treatment for headache'],"['Home care for headache (hydration, rest)']","['Monitor severity of headache, seek help if worsens']"
sore throat,preschool,Analyze the condition of a preschool child experiencing sore throat. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the sore throat start?', 'Has the child experienced this sore throat before?', 'Are there any other symptoms with the sore throat?']","['Possible diagnosis 1 for sore throat', 'Possible diagnosis 2 for sore throat']",['sore throat-relief medication (OTC)'],['Prescription treatment for sore throat'],"['Home care for sore throat (hydration, rest)']","['Monitor severity of sore throat, seek help if worsens']"
frequent urination,preschool,Analyze the condition of a preschool child experiencing frequent urination. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the frequent urination start?', 'Has the child experienced this frequent urination before?', 'Are there any other symptoms with the frequent urination?']","['Possible diagnosis 1 for frequent urination', 'Possible diagnosis 2 for frequent urination']",['frequent urination-relief medication (OTC)'],['Prescription treatment for frequent urination'],"['Home care for frequent urination (hydration, rest)']","['Monitor severity of frequent urination, seek help if worsens']"
abdominal pain,preschool,Analyze the condition of a preschool child experiencing abdominal pain. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the abdominal pain start?', 'Has the child experienced this abdominal pain before?', 'Are there any other symptoms with the abdominal pain?']","['Possible diagnosis 1 for abdominal pain', 'Possible diagnosis 2 for abdominal pain']",['abdominal pain-relief medication (OTC)'],['Prescription treatment for abdominal pain'],"['Home care for abdominal pain (hydration, rest)']","['Monitor severity of abdominal pain, seek help if worsens']"
vomiting,preschool,Analyze the condition of a preschool child experiencing vomiting. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the vomiting start?', 'Has the child experienced this vomiting before?', 'Are there any other symptoms with the vomiting?']","['Possible diagnosis 1 for vomiting', 'Possible diagnosis 2 for vomiting']",['vomiting-relief medication (OTC)'],['Prescription treatment for vomiting'],"['Home care for vomiting (hydration, rest)']","['Monitor severity of vomiting, seek help if worsens']"
fatigue,infant,Analyze the condition of a infant child experiencing fatigue. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the fatigue start?', 'Has the child experienced this fatigue before?', 'Are there any other symptoms with the fatigue?']","['Possible diagnosis 1 for fatigue', 'Possible diagnosis 2 for fatigue']",['fatigue-relief medication (OTC)'],['Prescription treatment for fatigue'],"['Home care for fatigue (hydration, rest)']","['Monitor severity of fatigue, seek help if worsens']"
frequent urination,school-age,Analyze the condition of a school-age child experiencing frequent urination. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the frequent urination start?', 'Has the child experienced this frequent urination before?', 'Are there any other symptoms with the frequent urination?']","['Possible diagnosis 1 for frequent urination', 'Possible diagnosis 2 for frequent urination']",['frequent urination-relief medication (OTC)'],['Prescription treatment for frequent urination'],"['Home care for frequent urination (hydration, rest)']","['Monitor severity of frequent urination, seek help if worsens']"
